68	0
0	0	0
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
11	1	0
12	1	0
13	1	0
14	1	0
15	1	0
16	1	0
17	1	0
18	1	0
19	1	0
20	0	0
20	1	0
21	0	0
41	0	0
42	0	0
62	0	0
63	0	0
83	0	0
84	0	0
104	0	0
105	0	0
125	0	0
126	0	0
146	0	0
147	0	0
167	0	0
168	0	0
188	0	0
189	0	0
209	0	0
210	0	0
230	0	0
231	0	0
251	0	0
252	0	0
252	1	0
253	1	0
254	1	0
255	1	0
256	1	0
257	1	0
258	1	0
259	1	0
260	1	0
261	1	0
262	1	0
263	1	0
264	1	0
265	1	0
266	1	0
267	1	0
268	1	0
269	1	0
270	1	0
271	1	0
272	0	0
272	1	0
